,X,Y,Z,time,trace
4922,3139190.976309661,-100055.79771289616,2000.0,31327.0,4
4923,3141990.56543656,-100090.82649006012,2000.0,31337.0,4
4924,3144789.0196881667,-100102.88659665015,2000.0,31347.0,4
4925,3150363.340059485,-100161.14769947236,2000.0,31367.0,4
4926,3153157.0239925957,-100176.92639396434,2000.0,31377.0,4
4927,3158742.2124355217,-100236.73751596436,2000.0,31397.0,4
4928,3161539.1369077577,-100250.6343517739,2000.0,31407.0,4
4929,3164342.188490404,-100278.66897065785,2000.0,31417.0,4
4930,3169917.19893453,-100320.1995627073,2000.0,31437.0,4
4931,3172700.5351710506,-100367.29151702239,2000.0,31447.0,4
4932,3178239.3316745316,-100406.46751811456,2000.0,31467.0,4
4933,3181026.943050148,-100421.99583596498,2000.0,31477.0,4
4934,3183801.129924569,-100448.62088323684,2000.0,31487.0,4
4935,3186621.4978761855,-100481.38117186535,2000.0,31497.0,4
4936,3189447.5728218714,-100497.44099134831,2000.0,31507.0,4
4937,3192264.7859982685,-100529.01956820258,2000.0,31517.0,4
4938,3195095.8580149184,-100546.35030400087,2000.0,31527.0,4
4939,3197919.037514782,-100573.28976980598,2000.0,31537.0,4
4940,3200750.1830176474,-100602.65540451661,2000.0,31547.0,4
4941,3206403.0226655905,-100664.69650401396,2000.0,31567.0,4
4942,3209228.640550049,-100677.6669274708,2000.0,31577.0,4
4943,3214868.6250360487,-100722.94952028559,2000.0,31597.0,4
4944,3217698.795085869,-100763.78502231232,2000.0,31607.0,4
4945,3220520.7509221183,-100775.49822252028,2000.0,31617.0,4
4946,3223344.211342843,-100811.76191090379,2000.0,31627.0,4
4947,3226181.547795105,-100827.41082434039,2000.0,31637.0,4
4948,3228995.4867504393,-100864.7623419179,2000.0,31647.0,4
4949,3231810.9845981635,-100887.46842359542,2000.0,31657.0,4
4950,3234638.6004645694,-100906.00456540007,2000.0,31667.0,4
4951,3237460.915511354,-100942.0085523464,2000.0,31677.0,4
4952,3240301.086655043,-100954.7297050194,2000.0,31687.0,4
4953,3243124.861196389,-100986.45029809537,2000.0,31697.0,4
4954,3245943.9377569146,-101019.56571744398,2000.0,31707.0,4
4955,3248780.4558316143,-101032.54138066953,2000.0,31717.0,4
4956,3251589.7730531786,-101067.89125030964,2000.0,31727.0,4
4957,3254420.5123916483,-101083.79829292347,2000.0,31737.0,4
4958,3257248.427074096,-101111.66186524146,2000.0,31747.0,4
4959,3260074.6078740456,-101132.7987400391,2000.0,31757.0,4
4960,3262897.4664533646,-101166.58663284498,2000.0,31767.0,4
